unique id,name,year of study,department,book serial no.,book name,date of issue,submit date,phone no.,email id
STU1001,Vikram Das,3,Mathematics,BK-69868,The Alchemist,2026-10-10,2026-10-29,9192009434,vikram.das93@university.edu
STU1002,Kabir Patel,1,Electrical Engineering,BK-26499,Calculus Early Transcendentals,2026-02-08,2026-02-17,7293165521,kabir.patel45@university.edu
STU1003,Pooja Gupta,4,Computer Science,BK-83443,1984,2026-06-05,2026-06-15,9421591928,pooja.gupta64@university.edu
STU1004,Karan Nair,3,Mechanical Engineering,BK-66865,Psychology of Money,2026-07-24,2026-08-10,9973599262,karan.nair75@university.edu
STU1005,Riya Singh,4,Civil Engineering,BK-16027,The Alchemist,2026-10-21,2026-10-28,9599188852,riya.singh66@university.edu
STU1006,Rahul Malhotra,2,Physics,BK-16294,The Alchemist,2026-05-01,2026-05-21,7854763985,rahul.malhotra91@university.edu
STU1007,Ishani Reddy,2,Economics,BK-17989,Psychology of Money,2026-01-02,2026-01-21,7749525219,ishani.reddy32@university.edu
STU1008,Aditya Malhotra,3,Physics,BK-26487,Microbiology Intro,2026-10-29,2026-11-17,7725355809,aditya.malhotra14@university.edu
STU1009,Kabir Verma,4,Mathematics,BK-20775,Clean Code,2026-08-24,2026-09-07,8777512643,kabir.verma20@university.edu
STU1010,Priya Gupta,4,Electrical Engineering,BK-21525,The Alchemist,2026-05-21,2026-06-06,9676993276,priya.gupta91@university.edu
STU1011,Kabir Reddy,3,Computer Science,BK-88429,The Art of War,2026-03-13,2026-03-30,8695405662,kabir.reddy80@university.edu
STU1012,Rahul Iyer,3,Economics,BK-72116,1984,2026-08-10,2026-08-19,7307249574,rahul.iyer55@university.edu
STU1013,Riya Bose,1,Civil Engineering,BK-77845,Brave New World,2026-02-18,2026-03-05,8758821232,riya.bose26@university.edu
STU1014,Manish Iyer,3,Computer Science,BK-67086,The Art of War,2026-02-25,2026-03-08,7004571268,manish.iyer33@university.edu
STU1015,Priya Iyer,2,Physics,BK-56676,1984,2026-04-01,2026-04-20,9047059772,priya.iyer85@university.edu
STU1016,Rohan Joshi,2,Mathematics,BK-30557,The Art of War,2026-04-23,2026-05-06,7559161334,rohan.joshi95@university.edu
STU1017,Manish Reddy,4,Mechanical Engineering,BK-73593,Digital Logic Design,2026-04-16,2026-04-23,8097634332,manish.reddy20@university.edu
STU1018,Sanya Kapoor,2,Civil Engineering,BK-60219,Clean Code,2026-06-09,2026-06-30,7555552180,sanya.kapoor76@university.edu
STU1019,Karan Iyer,3,Mechanical Engineering,BK-24093,Physics for Scientists,2026-09-20,2026-09-29,8037909360,karan.iyer59@university.edu
STU1020,Meera Joshi,3,Literature,BK-31476,Modern Economics,2026-06-15,2026-06-23,9045047018,meera.joshi32@university.edu
STU1021,Karan Verma,1,Mechanical Engineering,BK-75899,Data Structures 101,2026-06-30,2026-07-21,7173642917,karan.verma34@university.edu
STU1022,Pooja Gupta,3,Civil Engineering,BK-53399,The Great Gatsby,2026-01-14,2026-01-28,8051926464,pooja.gupta90@university.edu
STU1023,Vijay Malhotra,1,Literature,BK-62932,1984,2026-08-25,2026-09-13,9064383022,vijay.malhotra18@university.edu
STU1024,Ananya Chawla,1,Electrical Engineering,BK-79253,Modern Economics,2026-08-10,2026-08-29,7129667447,ananya.chawla51@university.edu
STU1025,Sneha Bose,1,Computer Science,BK-84212,Modern Economics,2026-03-10,2026-03-19,9155456340,sneha.bose24@university.edu
STU1026,Pooja Kulkarni,3,Economics,BK-17561,Clean Code,2026-09-30,2026-10-18,9552529252,pooja.kulkarni71@university.edu
STU1027,Ishani Nair,4,Mechanical Engineering,BK-53472,Digital Logic Design,2026-01-11,2026-01-31,8946909279,ishani.nair31@university.edu
STU1028,Aditya Patel,4,Economics,BK-11584,Introduction to Algorithms,2026-04-06,2026-04-17,8993728885,aditya.patel83@university.edu
STU1029,Meera Gupta,2,Computer Science,BK-90596,The Alchemist,2026-09-25,2026-10-15,9251597827,meera.gupta59@university.edu
STU1030,Riya Kapoor,2,Civil Engineering,BK-91092,To Kill a Mockingbird,2026-07-29,2026-08-12,8309695083,riya.kapoor70@university.edu
STU1031,Vijay Kapoor,4,Electrical Engineering,BK-68836,Psychology of Money,2026-05-28,2026-06-09,9548498416,vijay.kapoor91@university.edu
STU1032,Kabir Gupta,4,Economics,BK-42303,Data Structures 101,2025-12-30,2026-01-10,7675429734,kabir.gupta23@university.edu
STU1033,Arjun Singh,4,Mechanical Engineering,BK-46252,Brave New World,2026-08-10,2026-08-24,8726612558,arjun.singh54@university.edu
STU1034,Aditya Gupta,4,Physics,BK-36155,Calculus Early Transcendentals,2026-06-23,2026-07-03,8446409941,aditya.gupta26@university.edu
STU1035,Priya Joshi,1,Civil Engineering,BK-48353,Brave New World,2026-10-04,2026-10-18,9603067598,priya.joshi69@university.edu
STU1036,Riya Verma,2,Physics,BK-46408,Clean Code,2025-12-26,2026-01-09,8026401613,riya.verma33@university.edu
STU1037,Karan Malhotra,2,Civil Engineering,BK-23232,To Kill a Mockingbird,2026-02-05,2026-02-15,7508556052,karan.malhotra43@university.edu
STU1038,Tara Iyer,2,Physics,BK-40958,Introduction to Algorithms,2026-01-08,2026-01-22,8924105681,tara.iyer83@university.edu
STU1039,Zoya Joshi,4,Computer Science,BK-11758,Data Structures 101,2026-12-05,2026-12-13,7144762582,zoya.joshi71@university.edu
STU1040,Arjun Sharma,2,Computer Science,BK-21956,Digital Logic Design,2026-11-07,2026-11-20,7464794109,arjun.sharma17@university.edu
STU1041,Vijay Joshi,4,Electrical Engineering,BK-73354,The Alchemist,2025-12-25,2026-01-07,9292263021,vijay.joshi97@university.edu
STU1042,Meera Kapoor,2,Civil Engineering,BK-64643,Data Structures 101,2026-07-17,2026-07-27,9401832050,meera.kapoor81@university.edu
STU1043,Manish Chawla,3,Civil Engineering,BK-46443,Calculus Early Transcendentals,2026-02-07,2026-02-14,8769775468,manish.chawla23@university.edu
STU1044,Sanya Verma,4,Mechanical Engineering,BK-93837,Brave New World,2025-12-23,2026-01-12,9499033720,sanya.verma38@university.edu
STU1045,Rahul Reddy,3,Literature,BK-60072,Brave New World,2026-12-19,2026-12-31,7463685177,rahul.reddy43@university.edu
STU1046,Sneha Kulkarni,2,Physics,BK-95029,1984,2026-02-08,2026-02-17,8454908419,sneha.kulkarni83@university.edu
STU1047,Riya Nair,2,Civil Engineering,BK-54379,Psychology of Money,2026-01-19,2026-01-27,9637789253,riya.nair51@university.edu
STU1048,Sneha Joshi,3,Literature,BK-85546,1984,2026-04-06,2026-04-20,8091191822,sneha.joshi46@university.edu
STU1049,Rohan Nair,4,Physics,BK-92383,Brave New World,2026-04-28,2026-05-06,9061564232,rohan.nair31@university.edu
STU1050,Ishani Chawla,4,Economics,BK-91181,Physics for Scientists,2026-01-30,2026-02-15,9473056051,ishani.chawla80@university.edu
STU1051,Priya Nair,2,Mathematics,BK-33422,To Kill a Mockingbird,2026-08-22,2026-09-06,7757224532,priya.nair67@university.edu
STU1052,Aditya Kulkarni,3,Economics,BK-62775,Calculus Early Transcendentals,2026-06-17,2026-06-24,9436363468,aditya.kulkarni99@university.edu
STU1053,Sanya Chawla,4,Literature,BK-95208,Data Structures 101,2026-06-04,2026-06-25,7199773216,sanya.chawla15@university.edu
STU1054,Vikram Bose,1,Mathematics,BK-24868,The Great Gatsby,2026-04-08,2026-04-17,7282403955,vikram.bose15@university.edu
STU1055,Ishani Bose,1,Literature,BK-29754,The Great Gatsby,2026-09-09,2026-09-30,7718312074,ishani.bose35@university.edu
STU1056,Karan Sharma,3,Physics,BK-90284,Psychology of Money,2026-02-21,2026-03-02,8743807583,karan.sharma34@university.edu
STU1057,Ishani Joshi,1,Mechanical Engineering,BK-70023,Data Structures 101,2026-06-23,2026-07-08,8769008027,ishani.joshi64@university.edu
